id,name,start,dist,up,down,end,type,surface,map,deprecated,neighborhoods,coarse_neighborhoods,start_neighborhood,end_neighborhood,transit
locks-discovery-magnolia-interbay-loop,"Locks, Discovery, Magnolia, Interbay Loop",Locks,8.8,880,,Locks,Loop,,https://onthegomap.com/s/kn1hi8ov,,Interbay;Southeast Magnolia;Briarcliff;Lawton Park;Ballard,Magnolia;Interbay;Ballard,Ballard,Ballard,
locks-discovery-magnolia-discovery-ob,"OB: Locks, Discovery, Magnolia, Discovery, Locks",Locks,10.0,1320,,Locks,OB,,https://onthegomap.com/s/huatu1m7,,Interbay;Briarcliff;Lawton Park;Ballard,Magnolia;Interbay;Ballard,Ballard,Ballard,
locks-magnolia-elliott-bay-cranes-alki,"Locks, Magnolia, Elliott Bay Trail, Cranes, Alki Beach",Locks,15.2,810,,Alki,P2P,,https://onthegomap.com/s/u0jioq43,,Industrial District;Interbay;Southeast Magnolia;Pioneer Square;Briarcliff;Harbor Island;Alki;Central Business District;Lawton Park;Belltown;Ballard;Pike-Market;SODO,Downtown;Interbay;West Seattle;Greater Duwamish;Ballard;Magnolia,Ballard,Alki,
lord-hill-end-to-end-viewpoint-loop,Lord Hill End-to-end Viewpoint Loop,LordHill,10.0,1980,1980.0,LordHill,Loop,Trail,https://onthegomap.com/s/n4rlg8i8,,non-Seattle,,non-Seattle,non-Seattle,
lynwood-jogn-interurban-northgate,"Lynwood, Jog North, Interurban Trail, Northgate","Lynwood",15,790,880,"Northgate","P2P","Road","https://onthegomap.com/s/rk7tt0qb",""
madrona-park-lwb-madison-beach-ob,"OB: Madrona Park, LWB, Madison Beach",MadronaPark,4.7,337,,MadronaPark,OB,,https://onthegomap.com/s/ls4gofa5,True,Madison Park;Harrison/Denny-Blaine;Madrona,Central Area;Capitol Hill,Madrona,Madrona,
madrona-park-lwb-sailing-club-ob,"OB: Madrona Park, LWB, Sailing Club",MadronaPark,6.0,339,,MadronaPark,OB,,https://onthegomap.com/s/8nsem6fp,True,Seward Park;Mount Baker;Leschi;Madrona,Central Area;Rainier Valley;Seward Park,Madrona,Madrona,
magnuson-park-loop,Magnuson Park Loop,Magnuson,2.2,67,,Magnuson,Loop,,https://onthegomap.com/s/m5g1hfj5,True,Sand Point,Northeast,Sand Point,Sand Point,
miller-interlaken-ob,"OB: Miller Playfield, Interlaken",Miller,3.93,548,,Miller,OB,,https://onthegomap.com/s/apg53aoe,,Stevens;Montlake,Capitol Hill,Stevens,Stevens,
miller-judkins-i90-bridge-ob,"OB: Miller Playfield, Judkins Park, I90 Bridge",Miller,10.0,930,,Miller,OB,,https://onthegomap.com/s/cr1mcpsl,,Stevens;Mount Baker;Atlantic;Minor,Central Area;Capitol Hill;Rainier Valley,Stevens,Stevens,
mb-lwb-cc,"Mount Bake, LWB, Columbia City",MtBaker,3.3,261,,ColCity,P2P,,https://onthegomap.com/s/3i1cco56,,North Beacon Hill;Mount Baker;Columbia City;Seward Park,Beacon Hill;Rainier Valley;Seward Park,North Beacon Hill,Columbia City,
northgate-resevoirs-roosevelt,"Northgate, Resevoirs, Roosevelt",Northgate,4.1,600,,Roosevelt,P2P,,https://onthegomap.com/s/2tmbpess,,Maple Leaf;Victory Heights;Roosevelt,Lake City;Northeast;Northgate,Maple Leaf,Roosevelt,
northgate-carkeek-ob,"OB: Northgate, Carkeek",Northgate,6.4,720,,Northgate,OB,,https://onthegomap.com/s/k15n5ruq,,Licton Springs;Haller Lake;Maple Leaf;Broadview;North Beach/Blue Ridge;Bitter Lake;Greenwood,Northwest;Northgate,Maple Leaf,Maple Leaf,
northgate-bitter-lake-ob,"OB: Northgate, Interurban Trail, Bitter Lake",Northgate,7.0,520,,Northgate,OB,,https://onthegomap.com/s/t5v1dtdu,,Maple Leaf;Bitter Lake;Licton Springs;Haller Lake,Northwest;Northgate,Maple Leaf,Maple Leaf,
northgate-carkeek-roosevelt,"Northgate, Carkeek, Roosevelt",Northgate,8.2,750,,Roosevelt,P2P,,https://onthegomap.com/s/i52u05p8,,Crown Hill;Licton Springs;Whittier Heights;Haller Lake;Roosevelt;Maple Leaf;Broadview;North Beach/Blue Ridge;Bitter Lake;Green Lake;Greenwood,North Central;Northgate;Northeast;Northwest;Ballard,Maple Leaf,Roosevelt,
