stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
11730,11730,"31st Ave S & S Lander St","",47.5798607,-122.292908,1,,0,,America/Los_Angeles,1
11750,11750,"31st Ave S & S College St","",47.5827065,-122.292892,1,,0,,America/Los_Angeles,1
11770,11770,"31st Ave S & S Plum St","",47.5850983,-122.292908,1,,0,,America/Los_Angeles,1
11790,11790,"31st Ave S & S Massachusetts St","",47.5881615,-122.292442,1,,0,,America/Los_Angeles,1
1180,1180,"Pike St & 4th Ave","",47.6100731,-122.336838,21,,0,,America/Los_Angeles,1
11800,11800,"31st Ave S & S Day St","",47.5905914,-122.292305,1,,0,,America/Los_Angeles,1
11820,11820,"31st Ave S & S Norman St","",47.5935059,-122.292656,1,,0,,America/Los_Angeles,1
11840,11840,"31st Ave S & S Dearborn St","",47.5959206,-122.292603,1,,0,,America/Los_Angeles,1
11860,11860,"31st Ave S & S King St","",47.597908,-122.292519,1,,0,,America/Los_Angeles,1
11870,11870,"S Jackson St & 30th Ave S","",47.5992508,-122.29364,1,,0,,America/Los_Angeles,1
11880,11880,"S Jackson St & 28th Ave S","",47.5992813,-122.296005,1,,0,,America/Los_Angeles,1
11890,11890,"S Jackson St & Martin L King Jr Way S","",47.5993042,-122.297752,1,,0,,America/Los_Angeles,1
1190,1190,"Pike St & 6th Ave","",47.6110344,-122.334526,21,,0,,America/Los_Angeles,1
11910,11910,"S Jackson St & 23rd Ave S","",47.5993462,-122.301811,1,,0,,America/Los_Angeles,1
11920,11920,"S Jackson St & 20th Pl S","",47.5993347,-122.304642,1,,0,,America/Los_Angeles,1
11940,11940,"S Jackson St & 18th Ave S","",47.5993042,-122.309349,1,,0,,America/Los_Angeles,1
1195,1195,"Pike St & 7th Ave","",47.6118088,-122.332687,21,,0,,America/Los_Angeles,1
11960,11960,"S Jackson St & Rainier Ave S","",47.5991478,-122.313354,1,,0,,America/Los_Angeles,1
11980,11980,"S Jackson St & 18th Ave S","",47.5991669,-122.309738,1,,0,,America/Los_Angeles,1
11990,11990,"S Jackson St & 20th Ave S","",47.5991898,-122.305893,1,,0,,America/Los_Angeles,1
120,120,"E Madison St & Martin L King Jr Way E","",47.6230965,-122.296906,1,,0,,America/Los_Angeles,1
12010,12010,"S Jackson St & 23rd Ave S","",47.5992203,-122.30143,1,,0,,America/Los_Angeles,1
12030,12030,"S Jackson St & 28th Ave S","",47.5991478,-122.295952,1,,0,,America/Los_Angeles,1
12040,12040,"S Jackson St & 30th Ave S","",47.5991173,-122.29393,1,,0,,America/Los_Angeles,1
12050,12050,"31st Ave S & S King St","",47.597744,-122.29274,1,,0,,America/Los_Angeles,1
12070,12070,"31st Ave S & S Dearborn St","",47.5955124,-122.292809,1,,0,,America/Los_Angeles,1
12080,12080,"31st Ave S & S Norman St","",47.5930748,-122.292877,1,,0,,America/Los_Angeles,1
12090,12090,"31st Ave S & S Irving St","",47.5909729,-122.292496,1,,0,,America/Los_Angeles,1
